replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.9960857,0.0007495569,0.00081231154,0.0016640943,-0.0017731605,2000,204,9.70873786407767,1.1027861270275254,13,6,1.0,0.0,1.0,1.0,9.70873786407767,1.1027861270275254,13.0,6.0,0.962,0.19119623427254,1,0,103,9.70873786407767,4998,534,9.359550561797754,0.7606500917309128,11,8,1.0,0.0,1.0,1.0,9.359550561797754,0.7606500917309128,11.0,8.0,1.0,0.0,1,1,534,9.359550561797754,0.004815902999325772,0.5159711399992375,0.10150062600041565,0.009010708999994677,0.0031573340002069017,0.8785058470002696,1.51296155899945,1.6342154270005267,0
3000,0.013356854,1.4057102,0.06120503,1.5223436,1.254634,3000,305,9.900990099009901,1.214638034295574,14,8,1.0,0.0,1.0,1.0,9.900990099009901,1.214638034295574,14.0,8.0,0.952,0.21376622745419818,1,0,101,9.900990099009901,9995,1067,9.375234521575985,0.7759918856135621,11,8,1.0,0.0,1.0,1.0,9.375234521575985,0.7759918856135621,11.0,8.0,1.0,0.0,1,1,533,9.375234521575985,0.00464739899871347,0.4883606419989519,0.10116644400113728,0.008933135000916081,0.0030219759992178297,0.8465125340007944,1.452642129999731,3.088725838002574,1
4000,0.05694236,1.9960175,0.27540407,2.6096463,1.392053,4000,362,17.54385964912281,3.690053845651904,38,9,1.0,0.0,1.0,1.0,17.54385964912281,3.690053845651904,38.0,9.0,0.511,0.49987898535545583,1,0,57,17.54385964912281,14982,1359,17.078767123287673,2.377972801442139,22,13,1.0,0.0,1.0,1.0,17.078767123287673,2.377972801442139,22.0,13.0,0.5007018247443352,0.4999995074417857,1,0,292,17.078767123287673,0.0046339210002770415,0.47714018000078795,0.10010453399991093,0.0075717260006058495,0.003096050999374711,0.8458939559986902,1.4384403679996467,4.529003218000071,2
5000,0.46603337,2.9739852,0.71356905,5.077139,1.5876391,5000,465,9.70873786407767,1.2038051963263134,13,3,1.0,0.0,1.0,1.0,9.70873786407767,1.2038051963263134,13.0,3.0,0.049,0.21586801523152982,1,0,103,9.70873786407767,19977,1894,9.336448598130842,0.7481306951846542,11,8,1.0,0.0,1.0,1.0,9.336448598130842,0.7481306951846542,11.0,8.0,0.0,0.0,0,0,535,9.336448598130842,0.004701511999883223,0.48670946700076456,0.10151662600037525,0.008939358000134234,0.0030663910001749173,0.8489715550003893,1.4539049090017215,5.98455961700347,3
6000,0.29628468,3.6618838,0.62049943,5.178192,2.0140803,6000,474,111.11111111111111,44.79941578102317,200,19,1.0,0.0,1.0,1.0,111.11111111111111,44.79941578102317,200.0,19.0,0.511,0.49987898535545583,1,0,9,111.11111111111111,24895,1932,129.42105263157896,30.952962258500836,200,91,1.0,0.0,1.0,1.0,129.42105263157896,30.952962258500836,200.0,91.0,0.5012200081333875,0.49999851157793906,1,0,38,129.42105263157896,0.004474155000934843,0.46223866199943586,0.09737193199907779,0.005926411000473308,0.003055111999856308,0.8525639880008384,1.4256302600006165,7.41193998500421,4
7000,0.54735255,4.5292807,0.7567844,6.0176806,2.4666204,7000,488,71.42857142857143,14.66635744881211,108,42,1.0,0.0,1.0,1.0,71.42857142857143,14.66635744881211,108.0,42.0,0.474,0.4993235424051224,1,0,14,71.42857142857143,29848,2005,67.84931506849315,11.934376768224528,111,50,1.0,0.0,1.0,1.0,67.84931506849315,11.934376768224528,111.0,50.0,0.4663840096910963,0.4988686853226525,1,0,73,67.84931506849315,0.004642275998776313,0.4718431090004742,0.09741476500130375,0.006091391998779727,0.0030867790010233875,0.8504139589986153,1.4334922799989727,8.846840598002018,5
8000,0.49323145,5.2271714,1.0182357,7.1047173,2.3280404,8000,500,83.33333333333333,39.44053188733078,196,58,1.0,0.0,1.0,1.0,83.33333333333333,39.44053188733078,196.0,58.0,0.485,0.49977494935220584,1,0,12,83.33333333333333,34827,2070,76.6,24.270780152907516,163,44,1.0,0.0,1.0,1.0,76.6,24.270780152907516,163.0,44.0,0.47278569993974695,0.4992588325430312,1,0,65,76.6,0.004449668000233942,0.4684522349998588,0.09680093399947509,0.0060672079998767,0.003067397999984678,0.8614099280002847,1.440247370999714,10.288536668000233,6
9000,0.6390651,6.070192,1.3075684,8.639715,2.3150206,9000,513,76.92307692307692,14.461947621053081,108,51,1.0,0.0,1.0,1.0,76.92307692307692,14.461947621053081,108.0,51.0,0.489,0.4998789853554558,1,0,13,76.92307692307692,39786,2128,85.5,25.790435275972715,200,51,1.0,0.0,1.0,1.0,85.5,25.790435275972715,200.0,51.0,0.48981649526114135,0.4998962854745308,1,0,58,85.5,0.004589027999827522,0.46970018499996513,0.0991668970000319,0.006008871998346876,0.0030752900001971284,0.8574090889997024,1.439949360998071,11.729888697002025,7
10000,0.31145883,6.98194,1.5990528,9.99485,2.1914673,10000,527,71.42857142857143,31.28604044187459,161,13,1.0,0.0,1.0,1.0,71.42857142857143,31.28604044187459,161.0,13.0,0.513,0.49983097142934235,1,0,14,71.42857142857143,44724,2184,88.17857142857143,24.76540440013126,159,53,1.0,0.0,1.0,1.0,88.17857142857143,24.76540440013126,159.0,53.0,0.4995949777237748,0.4999998359569288,1,0,56,88.17857142857143,0.0044357000006129965,0.46881009000026097,0.09734854400085169,0.005986588999803644,0.003084124000451993,0.8586134919987671,1.4382785390007484,13.169595929000934,8
11000,0.6995846,7.8508015,1.6644832,11.194679,2.6398256,11000,539,83.33333333333333,25.872550877114705,138,44,1.0,0.0,1.0,1.0,83.33333333333333,25.872550877114705,138.0,44.0,0.507,0.4999509975987647,1,0,12,83.33333333333333,49680,2248,77.4375,27.659692582348054,178,45,1.0,0.0,1.0,1.0,77.4375,27.659692582348054,178.0,45.0,0.5046408393866021,0.4999784621459086,1,0,64,77.4375,0.00445853199926205,0.4726147960009257,0.09839109300082782,0.006034227000782266,0.0030868049998389324,0.8572734589997708,1.4418589120014076,14.612866732002658,9
