replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,1.0070971,-0.00035410206,0.000880004,0.00087924185,-0.004633473,2000,203,9.70873786407767,1.4116785296555954,17,5,1.0,0.0,1.0,1.0,9.70873786407767,1.4116785296555954,17.0,5.0,0.953,0.2116388433156825,1,0,103,9.70873786407767,4997,534,9.357677902621722,0.7249997037313756,11,8,1.0,0.0,1.0,1.0,9.357677902621722,0.7249997037313756,11.0,8.0,1.0,0.0,1,1,534,9.357677902621722,0.005006269000659813,0.4786395230003109,0.09694097899955523,0.01305162999960885,0.003152770001179306,0.8615777909999451,1.4583689620012592,1.575956374002999,0
3000,0.011495654,1.3752183,0.0654549,1.4773849,1.1959932,3000,308,9.523809523809524,1.1799534946060826,13,4,1.0,0.0,1.0,1.0,9.523809523809524,1.1799534946060826,13.0,4.0,0.965,0.1837797594948911,1,0,105,9.523809523809524,9992,1067,9.371482176360225,0.7253730735533019,11,8,1.0,0.0,1.0,1.0,9.371482176360225,0.7253730735533019,11.0,8.0,1.0,0.0,1,1,533,9.371482176360225,0.004979749000995071,0.47586629599936714,0.09836202500082436,0.012634325999897555,0.003028615999937756,0.8219504530006816,1.4168214650017035,2.99459504799961,1
4000,0.04236667,1.9778777,0.24157561,2.3860574,1.3935087,4000,410,9.803921568627452,1.1029302831706067,14,8,1.0,0.0,1.0,1.0,9.803921568627452,1.1029302831706067,14.0,8.0,0.954,0.2094850830011531,1,0,102,9.803921568627452,14984,1600,9.365853658536585,0.7498074006428903,11,8,1.0,0.0,1.0,1.0,9.365853658536585,0.7498074006428903,11.0,8.0,1.0,0.0,1,1,533,9.365853658536585,0.004943509999066009,0.4708271950003109,0.09795276099976036,0.012587482000526506,0.003014701000211062,0.8305990349999774,1.4199246839998523,4.41634178700042,2
5000,0.70662206,2.8377602,0.74204695,5.052543,1.4464617,5000,511,9.900990099009901,1.4037076117582004,15,3,1.0,0.0,1.0,1.0,9.900990099009901,1.4037076117582004,15.0,3.0,0.054,0.22601769842204836,1,0,101,9.900990099009901,19984,2131,9.416195856873824,0.7579095986704787,11,8,1.0,0.0,1.0,1.0,9.416195856873824,0.7579095986704787,11.0,8.0,0.0,0.0,0,0,531,9.416195856873824,0.00488081600087753,0.4739032019988372,0.09724677499980316,0.012628562000827515,0.00361159400017641,0.8210221549998096,1.4132931040003314,5.831410339002105,3
6000,0.22879544,3.3486898,0.68735385,4.788525,1.6094654,6000,526,66.66666666666667,11.886500279261716,86,36,1.0,0.0,1.0,1.0,66.66666666666667,11.886500279261716,86.0,36.0,0.477,0.4994707198625361,1,0,15,66.66666666666667,24930,2207,65.07894736842105,8.154371055637545,88,52,1.0,0.0,1.0,1.0,65.07894736842105,8.154371055637545,88.0,52.0,0.4737161342498989,0.4993086804785499,1,0,76,65.07894736842105,0.004667312001402024,0.46093627699883655,0.09414249899964489,0.009709769999972195,0.0029800960001011845,0.8269425239996053,1.3993784779995622,7.232794201001525,4
7000,0.2670048,4.226702,0.8026819,6.127975,1.9189192,7000,539,76.92307692307692,14.472581708243183,102,41,1.0,0.0,1.0,1.0,76.92307692307692,14.472581708243183,102.0,41.0,0.468,0.49897494927100305,1,0,13,76.92307692307692,29848,2272,75.66153846153846,13.269139353085324,116,55,1.0,0.0,1.0,1.0,75.66153846153846,13.269139353085324,116.0,55.0,0.46278975193167954,0.4986134749870827,1,0,65,75.66153846153846,0.004932319998260937,0.4520842570000241,0.09265755199885461,0.009509333998721559,0.003026653999768314,0.8290133309983503,1.3912234479939798,8.625706986995283,5
