replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,1.0079306,0.0014716046,0.0014035774,0.002295612,-0.0047013783,2000,203,9.900990099009901,1.138915156003834,14,8,1.0,0.0,1.0,1.0,9.900990099009901,1.138915156003834,14.0,8.0,0.053,0.22403347964087864,1,0,101,9.900990099009901,4995,531,9.40677966101695,0.7812969000254251,11,8,1.0,0.0,1.0,1.0,9.40677966101695,0.7812969000254251,11.0,8.0,0.0,0.0,0,0,531,9.40677966101695,0.0045842749987059506,0.4795078300012392,0.09676384900012636,0.012486246001571999,0.003140370001347037,0.8673174010000366,1.4637999710030272,1.599668887000007,0
3000,0.012392171,1.3817765,0.061663777,1.483343,1.2279311,3000,304,9.900990099009901,1.3313058466512169,15,5,1.0,0.0,1.0,1.0,9.900990099009901,1.3313058466512169,15.0,5.0,0.049,0.21586801523152982,1,0,101,9.900990099009901,9994,1065,9.361423220973784,0.7485883323269155,11,8,1.0,0.0,1.0,1.0,9.361423220973784,0.7485883323269155,11.0,8.0,0.0,0.0,0,0,534,9.361423220973784,0.004694085000664927,0.4693978760005848,0.09818172499944922,0.012318823999521555,0.003116333000434679,0.8400123949995759,1.427721238000231,3.029242991000501,1
4000,0.10130545,2.1283414,0.33799055,2.9759176,1.4712927,4000,364,16.666666666666668,2.72437556556034,23,6,1.0,0.0,1.0,1.0,16.666666666666668,2.72437556556034,23.0,6.0,0.538,0.4985539088203,1,0,60,16.666666666666668,14987,1357,17.09931506849315,2.155051300134476,22,13,1.0,0.0,1.0,1.0,17.09931506849315,2.155051300134476,22.0,13.0,0.5365511716402964,0.4986622222022855,1,0,292,17.09931506849315,0.004647388999728719,0.4635135080006876,0.09803677099989727,0.010714033000112977,0.0032604530006210553,0.8363872299996729,1.4165593840007205,4.447781517001204,2
5000,0.130842,2.7171264,0.2833744,3.3500967,2.0246007,5000,426,16.129032258064516,3.190125242600288,24,11,1.0,0.0,1.0,1.0,16.129032258064516,3.190125242600288,24.0,11.0,0.486,0.4998039615689336,1,0,62,16.129032258064516,19973,1672,15.82857142857143,2.304407686278732,21,11,1.0,0.0,1.0,1.0,15.82857142857143,2.304407686278732,21.0,11.0,0.48736462093862815,0.49984032169881554,1,0,315,15.82857142857143,0.004589321000821656,0.45751949999976205,0.09842941000169958,0.010718610999902012,0.00307881200023985,0.846160619001239,1.420496273003664,5.870023539004251,3
